OBJECTID,PERMITNUMBER,PROJECTID,NAME,CONTACT,PERMITGROUP,PERMITSTATUS,StatusDate,EXPDATE,Latitude,Longitude,PDF_LINK
2785,9555-9050,,Ladimi Circle,Michael Sadler,Operational,Issued,1682418180000,1840147200000,44.936848,-73.035643,https://anrweb.vt.gov/PubDocs/DEC/Stormwater/Permits/9555-9050.pdf
2786,3318-9050.4,EJ97-0348,Catamount Industrial Park,Michael Sadler,Operational,Issued,1680699720000,1838419200000,44.604277,-73.160145,https://anrweb.vt.gov/PubDocs/DEC/Stormwater/Permits/3318-9050.4.pdf
2787,9566-9050,,Proposed Site Improvements: Vallee Alburgh,Michael Sadler,Operational,Issued,1681291440000,1839024000000,44.959765,-73.277505,https://anrweb.vt.gov/PubDocs/DEC/Stormwater/Permits/9566-9050.pdf
2788,9567-9050,,Leclerc PUD,Michael Sadler,Operational,Issued,1690205160000,1847923200000,44.519787,-73.121217,https://anrweb.vt.gov/PubDocs/DEC/Stormwater/Permits/9567-9050.pdf
2789,9461-9020,,Vermont Natural Coatings,Thomas Benoit,Construction,Issued,1677599040000,1835222400000,44.512729,-72.376772,https://anrweb.vt.gov/PubDocs/DEC/Stormwater/Permits/9461-9020.pdf
2790,9568-9020,,Town of Bethel Water System Improvements,Bryce McKim,Construction,Issued,1689599820000,1847318400000,43.834508,-72.643219,https://anrweb.vt.gov/PubDocs/DEC/Stormwater/Permits/9568-9020.pdf
2791,9545-9050,,32B Storage,Terry Purcell,Operational,Issued,1685707140000,1843430400000,43.823233,-73.104584,https://anrweb.vt.gov/PubDocs/DEC/Stormwater/Permits/9545-9050.pdf
2792,3343-9050.2,BR93-0014,Mad River Commercial Park,Ashley Preston,Operational,Issued,1681477260000,1839196800000,44.228034,-72.794593,https://anrweb.vt.gov/PubDocs/DEC/Stormwater/Permits/3343-9050.2.pdf
2793,7651-9050,,Proposed Mixed-Use Commercial Building Addition,Terry Purcell,Operational,Issued,1683815340000,1841529600000,44.244498,-72.54899,https://anrweb.vt.gov/PubDocs/DEC/Stormwater/Permits/7651-9050.pdf
2794,4358-9050,RU96-0065,Pike Industries Wallingford,Terry Purcell,Operational,Issued,1683813480000,1841529600000,43.47569,-72.98219,https://anrweb.vt.gov/PubDocs/DEC/Stormwater/Permits/4358-9050.pdf
