ESITEID,TOWNNAME,COUNTY,RPC,SITETYPE,Sitetype_General,UNITCOUNT,YEARBUILT,AFFORDABLE,GPSX,GPSY,PRIMARYADDRESS,ZIP,SOURCEOFDATA,CHANGE
771925,SWANTON,FRANKLIN,Northwest RPC,CAMP,OTHER RESIDENTIAL,1,2025,UNKNOWN,-73.21418516859819,44.92665687414208,24 LAKEWOOD CAMPGROUND FIFTH ST,05488,Vermont Enhanced 911 Board,
771627,THETFORD,ORANGE,Two Rivers-Ottauquechee RC,OTHER RESIDENTIAL,OTHER RESIDENTIAL,1,2025,UNKNOWN,-72.2129506886122,43.79949970896426,0 QUAIL JOHN RD,05043,Vermont Enhanced 911 Board,
365669,WALDEN,CALEDONIA,Northeastern Vermont Dev. Assoc.,MOBILE HOME,SINGLE FAMILY DWELLING,1,2025,UNKNOWN,-72.18430507352991,44.45741933080933,0 BEAR HILL RD,05873,Vermont Enhanced 911 Board,
771742,DERBY,ORLEANS,Northeastern Vermont Dev. Assoc.,CAMP,OTHER RESIDENTIAL,1,2025,UNKNOWN,-72.11656690377991,44.933452086887385,0 VT ROUTE 105,05829,Vermont Enhanced 911 Board,
771953,PEACHAM,CALEDONIA,Northeastern Vermont Dev. Assoc.,SINGLE FAMILY DWELLING,SINGLE FAMILY DWELLING,1,2025,UNKNOWN,-72.1848446906216,44.2946727135575,81 GREAT RD,05821,Vermont Enhanced 911 Board,
771975,WEATHERSFIELD,WINDSOR,Mount Ascutney RC,SINGLE FAMILY DWELLING,SINGLE FAMILY DWELLING,1,2025,UNKNOWN,-72.46495968708761,43.34893036385299,29 W CAMP HILL RD,05156,Vermont Enhanced 911 Board,
771911,PITTSFIELD,RUTLAND,Two Rivers-Ottauquechee RC,SINGLE FAMILY DWELLING,SINGLE FAMILY DWELLING,1,2025,UNKNOWN,-72.80682916388355,43.78873121807121,280 FORSHA RD,05762,Vermont Enhanced 911 Board,
771919,WARREN,WASHINGTON,Central Vermont RPC,SINGLE FAMILY DWELLING,SINGLE FAMILY DWELLING,1,2025,UNKNOWN,-72.88212590853252,44.149253769874925,3203 GERMAN FLATS RD,05674,Vermont Enhanced 911 Board,
771924,SWANTON,FRANKLIN,Northwest RPC,CAMP,OTHER RESIDENTIAL,1,2025,UNKNOWN,-73.21440149346661,44.92925580692857,91 LAKEWOOD CAMPGROUND MAIN ST,05488,Vermont Enhanced 911 Board,
771921,TROY,ORLEANS,Northeastern Vermont Dev. Assoc.,MOBILE HOME,SINGLE FAMILY DWELLING,1,2025,UNKNOWN,-72.40650688992878,44.96372077011166,353 VEILLEUX RD,05859,Vermont Enhanced 911 Board,
646659,BENNINGTON,BENNINGTON,Bennington County RC,MOBILE HOME,SINGLE FAMILY DWELLING,1,2025,UNKNOWN,-73.17916209742319,42.88632896640864,33 CASSIE LN,05201,Vermont Enhanced 911 Board,
771740,DERBY,ORLEANS,Northeastern Vermont Dev. Assoc.,CAMP,OTHER RESIDENTIAL,1,2025,UNKNOWN,-72.11692651924211,44.93384781968495,0 VT ROUTE 105,05829,Vermont Enhanced 911 Board,
771934,SWANTON,FRANKLIN,Northwest RPC,CAMP,OTHER RESIDENTIAL,1,2025,UNKNOWN,-73.21331567238248,44.92992459593596,136 LAKEWOOD CAMPGROUND MAIN ST,05488,Vermont Enhanced 911 Board,
771913,CAVENDISH,WINDSOR,Mount Ascutney RC,SINGLE FAMILY DWELLING,SINGLE FAMILY DWELLING,1,2025,UNKNOWN,-72.59045101537161,43.39352656558118,299 CARLTON RD,05142,Vermont Enhanced 911 Board,
771715,BAKERSFIELD,FRANKLIN,Northwest RPC,SINGLE FAMILY DWELLING,SINGLE FAMILY DWELLING,1,2025,UNKNOWN,-72.72314223805263,44.83149725581185,6140 E BAKERSFIELD RD,05450,Vermont Enhanced 911 Board,
771909,CONCORD,ESSEX,Northeastern Vermont Dev. Assoc.,MOBILE HOME,SINGLE FAMILY DWELLING,1,2025,UNKNOWN,-71.86119747935459,44.4668773486835,0 N CONCORD RD,05858,Vermont Enhanced 911 Board,
767339,MORRISTOWN,LAMOILLE,Lamoille County PC,OTHER RESIDENTIAL,OTHER RESIDENTIAL,1,2023,UNKNOWN,-72.57837979745831,44.55403387510948,15 DEMARS RD,05661,Vermont Enhanced 911 Board,
646675,RANDOLPH,ORANGE,Two Rivers-Ottauquechee RC,SINGLE FAMILY DWELLING,SINGLE FAMILY DWELLING,1,2025,UNKNOWN,-72.5639291225747,43.95005926504307,6284 VT ROUTE 66,05061,Vermont Enhanced 911 Board,
